state,1951_census,1961_census,1971_census,1981_census,1991_census,2001_census,2011_census
Uttar pradesh,60274800,70144160,83849775,105113300,132062800,166053600,199581477
Maharashtra,32002500,39554900,50412240,62782820,78937190,96752500,112372972
Bihar,29085900,34841490,42126800,52303000,64531200,82879910,103804630
West bengal,26300670,34926000,44312017,54580650,68077970,80221300,91347736
Madhya pradesh,18615700,23218950,30017180,38169500,48566800,60385090,72597565
Tamil nadu,30119680,33687100,41199170,48408080,55859300,62111390,72138958
Rajasthan,15971130,20156540,25765810,34361860,44005990,56473300,68621012
Karnataka,19402500,23587910,29299015,37135710,44977200,52734986,61130704
Gujarat,16263700,20633305,26697488,34085800,41309580,50597200,60383628
Andhra pradesh,31115000,35983480,43502710,53551030,66508170,75728400,49386799
Odisha,14646100,17549500,21944625,26370270,31659740,36707900,41947358
Telangana,0,0,0,0,0,0,35193978
Kerala,13549000,16904560,21347300,25453680,29098523,31839000,33387677
Jharkhand,9697300,11606504,14227493,17612000,21844550,26946070,32988134
Assam,8029100,10837700,14625157,18041250,22414320,26638600,31169272
Punjab,9160990,11135404,13551069,16788920,20281971,24289130,27704236
Haryana,5674400,7591190,10036430,12922122,16464600,21083900,25753081
Chhattisgarh,7457700,9154330,11637800,14010110,17615600,20834530,25540196
Jammu and kashmir,3254650,3561100,4616632,5987389,7718700,10070300,12548926
Uttarakhand,2946900,3611200,4493800,5726550,7051600,8489100,10116752
Himachal pradesh,2386940,2812300,3460434,4280818,5170877,6077453,6856509
Tripura,639984,1142282,1556342,2053058,2757205,3191880,3671032
Meghalaya,606300,769990,1011699,1335819,1774778,2306540,2964007
Manipur,578060,780340,1073509,1421290,1837900,2294480,2721756
Nagaland,213700,369309,516110,775570,1210492,1990275,1980602
Goa,547000,590875,795997,1008373,1170115,1348900,1457723
Arunachal pradesh,0,337300,468885,632502,865900,1098328,1382611
Mizoram,196970,266200,332190,494440,690963,889690,1091014
Sikkim,138093,162863,210205,316840,406000,541902,607688
Delhi,1744500,2659990,4066400,6220973,9421311,13851503,16753235
Puducherry,317407,369355,472836,604281,808117,974820,1244464
Chandigarh,24948,120480,257100,452960,642374,901080,1054686
Andaman and nicobar island,31480,64160,115874,189496,281990,356650,379944
Dadra and nagar haveli,42846,58020,74880,104300,138290,220963,342853
Daman and diu,49482,37587,63000,79842,102110,158080,242911
Lakshadweep,21000,24370,32900,40250,52820,61300,64429
