state,district,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual,jan+feb,mam,jjas,ond,monsoon,autumn,winter,spring,summer,annual_mean
Andaman and nicobar island,Nicobar,107.3,57.9,65.2,117.0,358.5,295.5,285.0,271.9,354.8,326.0,315.2,250.9,2805.2,165.2,540.7,1207.2,892.1,301.8,326.0,224.46666666666667,57.9,180.23333333333335,233.76666666666665
Andaman and nicobar island,South andaman,43.7,26.0,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,3015.7,69.7,483.5,1757.2,705.3,439.29999999999995,301.2,149.26666666666668,26.0,161.16666666666666,251.3083333333333
Andaman and nicobar island,N & m andaman,32.7,15.9,8.6,53.4,343.6,503.3,465.4,460.9,454.8,276.1,198.6,100.0,2913.3,48.6,405.6,1884.4,574.7,471.09999999999997,276.1,110.43333333333334,15.9,135.20000000000002,242.775
Arunachal pradesh,Lohit,42.2,80.8,176.4,358.5,306.4,447.0,660.1,427.8,313.6,167.1,34.1,29.8,3043.8,123.0,841.3,1848.5,231.0,462.125,167.1,35.36666666666667,80.8,280.43333333333334,253.65
Arunachal pradesh,East siang,33.3,79.5,105.9,216.5,323.0,738.3,990.9,711.2,568.0,206.9,29.5,31.7,4034.7,112.8,645.4,3008.4,268.1,752.0999999999999,206.9,31.5,79.5,215.13333333333333,336.22499999999997
Arunachal pradesh,Subansiri f.d,28.0,48.3,85.3,101.5,140.5,228.4,217.4,182.8,159.8,75.9,20.9,11.6,1300.4,76.3,327.3,788.4,108.4,197.10000000000002,75.9,20.166666666666668,48.3,109.10000000000001,108.36666666666667
Arunachal pradesh,Tirap,42.2,72.7,141.0,316.9,328.7,614.7,851.9,500.6,418.3,218.7,42.9,22.9,3571.5,114.9,786.6,2385.5,284.5,596.375,218.7,36.0,72.7,262.2,297.625
Arunachal pradesh,Anjaw (lohit),42.2,80.8,176.4,358.5,306.4,447.0,660.1,427.8,313.6,167.1,34.1,29.8,3043.8,123.0,841.3,1848.5,231.0,462.125,167.1,35.36666666666667,80.8,280.43333333333334,253.65
Arunachal pradesh,Lower dibang,83.7,153.9,303.5,383.6,268.0,374.2,272.0,160.5,266.7,167.2,64.0,56.0,2553.3,237.6,955.1,1073.4,287.2,268.35,167.2,67.89999999999999,153.9,318.3666666666667,212.775
Arunachal pradesh,Changlang,70.3,170.9,367.9,554.4,334.2,526.2,460.8,291.5,353.6,275.0,64.9,74.2,3543.9,241.2,1256.5,1632.1,414.1,408.025,275.0,69.80000000000001,170.9,418.8333333333333,295.325
Arunachal pradesh,Papum pare,33.5,67.8,106.1,226.9,453.0,640.5,609.5,503.4,492.3,214.7,19.2,11.3,3378.2,101.3,786.0,2245.7,245.2,561.4250000000001,214.7,21.333333333333332,67.8,262.0,281.51666666666665
Arunachal pradesh,Low subansiri,97.5,109.3,92.4,204.3,266.2,284.1,248.9,270.5,192.7,78.5,49.5,27.2,1921.1,206.8,562.9,996.2,155.2,249.05,78.5,58.06666666666666,109.3,187.63333333333335,160.09166666666667
Arunachal pradesh,Upper siang,74.3,176.7,362.6,397.5,408.7,801.9,653.0,417.9,686.0,264.9,86.9,71.7,4402.1,251.0,1168.8,2558.8,423.5,639.7,264.9,77.63333333333334,176.7,389.59999999999997,366.8416666666667
Arunachal pradesh,West siang,26.0,66.7,76.8,229.2,239.5,416.6,592.4,312.4,291.1,126.8,33.7,29.5,2440.7,92.7,545.5,1612.5,190.0,403.125,126.8,29.733333333333334,66.7,181.83333333333334,203.39166666666665
Arunachal pradesh,Dibang valley,83.7,153.9,303.5,383.6,268.0,374.2,272.0,160.5,266.7,167.2,64.0,56.0,2553.3,237.6,955.1,1073.4,287.2,268.35,167.2,67.89999999999999,153.9,318.3666666666667,212.775
Arunachal pradesh,West kameng,35.2,43.5,58.9,134.3,341.1,665.3,749.9,579.1,490.9,233.9,40.3,27.0,3399.4,78.7,534.3,2485.2,301.2,621.3,233.9,34.166666666666664,43.5,178.10000000000002,283.28333333333336
Arunachal pradesh,East kameng,49.0,74.4,96.5,156.9,208.0,345.7,368.5,256.2,275.9,138.2,34.4,27.2,2030.9,123.4,461.4,1246.3,199.8,311.57500000000005,138.2,36.86666666666667,74.4,153.79999999999998,169.24166666666667
Arunachal pradesh,Tawang(w kame,35.2,43.5,58.9,134.3,341.1,665.3,749.9,579.1,490.9,233.9,40.3,27.0,3399.4,78.7,534.3,2485.2,301.2,621.3,233.9,34.166666666666664,43.5,178.10000000000002,283.28333333333336
Arunachal pradesh,Kurung kumey,82.7,70.0,128.2,245.7,271.4,292.7,404.0,276.3,283.5,92.3,32.3,42.4,2221.5,152.7,645.3,1256.5,167.0,314.125,92.3,52.46666666666666,70.0,215.1,185.125
Assam,Cachar,13.3,50.2,168.3,262.5,386.4,532.1,526.2,470.8,360.8,182.4,34.8,11.4,2999.2,63.5,817.2,1889.9,228.6,472.475,182.4,19.833333333333332,50.2,272.40000000000003,249.9333333333333
Assam,Darrang,13.1,21.4,53.5,168.8,320.0,419.7,345.8,272.1,221.5,95.4,17.2,9.3,1957.8,34.5,542.3,1259.1,121.9,314.775,95.4,13.200000000000001,21.4,180.76666666666665,163.15
Assam,Goalpara,12.7,20.4,51.1,196.6,399.8,567.8,502.8,334.6,304.9,157.7,21.7,5.2,2575.3,33.1,647.5,1710.1,184.6,427.525,157.7,13.199999999999998,20.4,215.83333333333334,214.60833333333335
Assam,Kamrup,12.0,20.8,58.6,151.7,293.4,365.5,345.1,248.7,188.4,106.6,15.1,7.5,1813.4,32.8,503.7,1147.7,129.2,286.925,106.6,11.533333333333333,20.8,167.89999999999998,151.11666666666667
Assam,Lakhimpur,27.7,48.6,76.7,165.5,331.9,528.3,605.2,467.6,424.1,140.3,23.0,20.4,2859.3,76.3,574.1,2025.2,183.7,506.29999999999995,140.3,23.7,48.6,191.36666666666665,238.275
Assam,North cachar,16.7,47.5,158.9,207.9,308.0,328.1,270.3,201.3,189.1,196.4,42.1,11.2,1977.5,64.2,674.8,988.8,249.7,247.20000000000002,196.4,23.333333333333332,47.5,224.9333333333333,164.79166666666666
Assam,Nagaon,12.0,22.5,48.1,128.9,171.3,285.9,326.3,294.1,218.6,120.0,21.6,10.8,1660.1,34.5,348.3,1124.9,152.4,281.225,120.0,14.800000000000002,22.5,116.10000000000001,138.34166666666667
Assam,Sivasagar,20.1,33.2,78.3,126.5,257.1,255.5,374.8,342.3,196.9,96.3,20.3,10.3,1811.6,53.3,461.9,1169.5,126.9,292.375,96.3,16.900000000000002,33.2,153.96666666666667,150.96666666666667
Assam,Barpeta,10.3,26.9,54.0,175.7,391.5,694.3,757.3,527.3,462.1,142.1,20.4,12.7,3274.6,37.2,621.2,2441.0,175.2,610.25,142.1,14.466666666666663,26.9,207.0666666666667,272.8833333333333
Assam,Dhubri,10.3,11.7,46.6,147.5,391.6,603.0,554.7,418.7,340.1,155.1,19.2,4.1,2702.6,22.0,585.7,1916.5,178.4,479.125,155.1,11.199999999999998,11.7,195.23333333333335,225.21666666666667
Assam,Dibrugarh,30.6,53.1,119.8,229.9,292.4,401.0,519.4,405.1,325.9,136.9,24.0,18.5,2556.6,83.7,642.1,1651.4,179.4,412.85,136.9,24.366666666666664,53.1,214.0333333333333,213.04999999999998
Assam,Jorhat,22.2,36.7,80.1,204.6,277.4,288.8,390.7,346.9,272.7,121.7,25.6,15.6,2083.0,58.9,562.1,1299.1,162.9,324.77500000000003,121.7,21.133333333333336,36.7,187.36666666666665,173.58333333333334
Assam,Karimganj,13.2,35.2,169.7,340.4,604.0,645.2,646.0,438.0,418.7,240.4,86.8,13.2,3650.8,48.4,1114.1,2147.9,340.4,536.975,240.4,37.733333333333334,35.2,371.3666666666666,304.23333333333335
Assam,Kokrajhar,10.9,27.9,45.8,216.4,461.1,822.2,864.2,677.1,462.9,159.5,18.1,6.1,3772.2,38.8,723.3,2826.4,183.7,706.6,159.5,11.700000000000001,27.9,241.1,314.34999999999997
Assam,Shonitpur,19.4,23.1,50.0,144.3,284.1,363.1,384.2,337.9,229.2,109.7,20.9,12.6,1978.5,42.5,478.4,1314.4,143.2,328.59999999999997,109.7,17.633333333333333,23.1,159.46666666666667,164.875
Assam,Golaghat,16.9,29.5,65.2,135.9,245.6,254.2,314.7,271.4,209.3,103.7,19.6,14.7,1680.7,46.4,446.7,1049.6,138.0,262.4,103.7,17.066666666666666,29.5,148.9,140.05833333333334
Assam,Tinsukia,26.6,58.4,131.2,215.9,272.7,388.3,515.3,387.2,327.0,118.7,25.1,18.9,2485.3,85.0,619.8,1617.8,162.7,404.45,118.7,23.53333333333333,58.4,206.6,207.10833333333335
Assam,Hailakandi,7.3,42.0,123.8,239.0,416.2,470.4,426.8,406.9,317.0,150.6,36.5,9.1,2645.6,49.3,779.0,1621.1,196.2,405.275,150.6,17.633333333333333,42.0,259.6666666666667,220.46666666666667
Assam,Dhemaji(lakhi,27.7,48.6,76.7,165.5,331.9,528.3,605.2,467.6,424.1,140.3,23.0,20.4,2859.3,76.3,574.1,2025.2,183.7,506.29999999999995,140.3,23.7,48.6,191.36666666666665,238.275
Assam,Karbi anglong,12.8,24.1,53.8,106.3,139.4,224.9,238.7,220.5,182.9,100.1,26.3,11.2,1341.0,36.9,299.5,867.0,137.6,216.75,100.1,16.766666666666666,24.1,99.83333333333333,111.75
Assam,Udalguri(dara,13.1,21.4,53.5,168.8,320.0,419.7,345.8,272.1,221.5,95.4,17.2,9.3,1957.8,34.5,542.3,1259.1,121.9,314.775,95.4,13.200000000000001,21.4,180.76666666666665,163.15
Assam,Kamrup metrop,12.0,20.8,58.6,151.7,293.4,365.5,345.1,248.7,188.4,106.6,15.1,7.5,1813.4,32.8,503.7,1147.7,129.2,286.925,106.6,11.533333333333333,20.8,167.89999999999998,151.11666666666667
Assam,Chirang(bongai,10.0,31.2,57.5,183.4,442.0,626.3,776.6,486.8,406.4,168.2,18.7,11.6,3218.7,41.2,682.9,2296.1,198.5,574.025,168.2,13.433333333333332,31.2,227.63333333333333,268.22499999999997
Assam,Baksa barpeta,10.3,26.9,54.0,175.7,391.5,694.3,757.3,527.3,462.1,142.1,20.4,12.7,3274.6,37.2,621.2,2441.0,175.2,610.25,142.1,14.466666666666663,26.9,207.0666666666667,272.8833333333333
Assam,Bongaigaon,10.0,31.2,57.5,183.4,442.0,626.3,776.6,486.8,406.4,168.2,18.7,11.6,3218.7,41.2,682.9,2296.1,198.5,574.025,168.2,13.433333333333332,31.2,227.63333333333333,268.22499999999997
